# 3D Systems, Inc.
# New Model
1026.5778513 -638.3847704 -565.0821438
1026.6188132 -638.3847704 -565.0665663
1026.6598200 -638.3847704 -565.0511069
1026.7008411 -638.3847704 -565.0356856
1026.7418462 -638.3847704 -565.0202219
1026.7828047 -638.3847704 -565.0046355
1026.8236853 -638.3847704 -564.9888461
1026.8644553 -638.3847704 -564.9727743
1026.9050808 -638.3847704 -564.9563409
1026.9455269 -638.3847704 -564.9394699
1026.9857855 -638.3847704 -564.9221535
1027.0258867 -638.3847704 -564.9044749
1027.0658662 -638.3847704 -564.8865220
1027.1057610 -638.3847704 -564.8683815
1027.1456095 -638.3847704 -564.8501395
1027.1854508 -638.3847704 -564.8318816
1027.2253240 -638.3847704 -564.8136936
1027.2652679 -638.3847704 -564.7956619
1027.3053208 -638.3847704 -564.7778738
1027.3455185 -638.3847704 -564.7604178
1027.3858832 -638.3847704 -564.7433531
1027.4264182 -638.3847704 -564.7266973
1027.4671246 -638.3847704 -564.7104651
1027.5080030 -638.3847704 -564.6946710
1027.5490533 -638.3847704 -564.6793297
1027.5902751 -638.3847704 -564.6644554
1027.6316674 -638.3847704 -564.6500624
1027.6732284 -638.3847704 -564.6361645
1027.7149561 -638.3847704 -564.6227756
1027.7568480 -638.3847704 -564.6099082
1027.7988954 -638.3847704 -564.5975570
1027.8410836 -638.3847704 -564.5856949
1027.8833987 -638.3847704 -564.5742931
1027.9258277 -638.3847704 -564.5633228
1027.9683589 -638.3847704 -564.5527547
1028.0109811 -638.3847704 -564.5425598
1028.0536843 -638.3847704 -564.5327089
1028.0964590 -638.3847704 -564.5231729
1028.1392964 -638.3847704 -564.5139228
1028.1821887 -638.3847704 -564.5049302
1028.2251327 -638.3847704 -564.4961884
1028.2681305 -638.3847704 -564.4877154
1028.3111841 -638.3847704 -564.4795313
1028.3542952 -638.3847704 -564.4716557
1028.3974650 -638.3847704 -564.4641088
1028.4406942 -638.3847704 -564.4569106
1028.4839832 -638.3847704 -564.4500811
1028.5273317 -638.3847704 -564.4436407
1028.5707389 -638.3847704 -564.4376096
1028.6142035 -638.3847704 -564.4320073
1028.6577207 -638.3847704 -564.4268291
1028.7012823 -638.3847704 -564.4220378
1028.7448809 -638.3847704 -564.4175940
1028.7885099 -638.3847704 -564.4134584
1028.8321636 -638.3847704 -564.4095916
1028.8758370 -638.3847704 -564.4059543
1028.9195260 -638.3847704 -564.4025073
1028.9632267 -638.3847704 -564.3992114
1029.0069357 -638.3847704 -564.3960276
1029.0506497 -638.3847704 -564.3929168
1029.0943669 -638.3847704 -564.3898542
1029.1380872 -638.3847704 -564.3868365
1029.1818104 -638.3847704 -564.3838624
1029.2255366 -638.3847704 -564.3809308
1029.2692655 -638.3847704 -564.3780405
1029.3129970 -638.3847704 -564.3751900
1029.3567310 -638.3847704 -564.3723784
1029.4004674 -638.3847704 -564.3696041
1029.4442061 -638.3847704 -564.3668662
1029.4879470 -638.3847704 -564.3641632
1029.5316903 -638.3847704 -564.3614980
1029.5754366 -638.3847704 -564.3588811
1029.6191863 -638.3847704 -564.3563239
1029.6629401 -638.3847704 -564.3538378
1029.7066986 -638.3847704 -564.3514342
1029.7504620 -638.3847704 -564.3491245
1029.7942309 -638.3847704 -564.3469203
1029.8380056 -638.3847704 -564.3448329
1029.8817861 -638.3847704 -564.3428738
1029.9255728 -638.3847704 -564.3410546
1029.9693657 -638.3847704 -564.3393911
1030.0131652 -638.3847704 -564.3379103
1030.0569712 -638.3847704 -564.3366403
1030.1007835 -638.3847704 -564.3356099
1030.1446012 -638.3847704 -564.3348474
1030.1884231 -638.3847704 -564.3343816
1030.2322472 -638.3847704 -564.3342412
1030.2760709 -638.3847704 -564.3344549
1030.3198911 -638.3847704 -564.3350516
1030.3637036 -638.3847704 -564.3360600
1030.4075043 -638.3847704 -564.3374970
1030.4512895 -638.3847704 -564.3393452
1030.4950567 -638.3847704 -564.3415815
1031.1058728 -638.3847704 -564.3985208
1031.1494899 -638.3847704 -564.4027775
1031.1931323 -638.3847704 -564.4067664
1031.2368033 -638.3847704 -564.4104285
1031.2805037 -638.3847704 -564.4137226
1031.3242285 -638.3847704 -564.4166746
1030.6262321 -638.3847704 -564.3503853
1030.6699120 -638.3847704 -564.3539402
1030.7135691 -638.3847704 -564.3577666
1030.7572036 -638.3847704 -564.3618410
1030.8008166 -638.3847704 -564.3661404
1030.8444100 -638.3847704 -564.3706345
1030.8879886 -638.3847704 -564.3752697
1030.9315583 -638.3847704 -564.3799876
1030.9751253 -638.3847704 -564.3847300
1031.0186960 -638.3847704 -564.3894385
1031.0622766 -638.3847704 -564.3940550
1030.5388037 -638.3847704 -564.3441826
1030.5825292 -638.3847704 -564.3471249
1031.9372041 -638.3847704 -564.4425622
1031.9810172 -638.3847704 -564.4435704
1032.0248359 -638.3847704 -564.4442859
1032.0686589 -638.3847704 -564.4446602
1032.1124834 -638.3847704 -564.4446445
1031.3679725 -638.3847704 -564.4193268
1031.4117314 -638.3847704 -564.4217213
1031.4555016 -638.3847704 -564.4239004
1031.4992799 -638.3847704 -564.4259066
1031.5430641 -638.3847704 -564.4277820
1031.5868519 -638.3847704 -564.4295690
1031.6306416 -638.3847704 -564.4313097
1031.6744315 -638.3847704 -564.4330462
1031.7182205 -638.3847704 -564.4348070
1031.7620098 -638.3847704 -564.4365612
1031.8058014 -638.3847704 -564.4382612
1031.8495968 -638.3847704 -564.4398598
1031.8933974 -638.3847704 -564.4413093
1032.1563055 -638.3847704 -564.4441916
